"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type"
"1278","SAL","VAN","Lions","Riptide",14,29,2014-04-12,"2014-04-12-VAN-SLC","Riptide","Lions","regular"
"1279","DC","TOR","Breeze","Rush",19,20,2014-04-12,"2014-04-12-TOR-DC","Rush","Breeze","regular"
"1280","OAK","SF","Spiders","FlameThrowers",20,16,2014-04-12,"2014-04-12-SF-SJ","Spiders","FlameThrowers","regular"
"1281","PHI","ROC","Phoenix","Dragons",10,13,2014-04-12,"2014-04-12-ROC-PHI","Dragons","Phoenix","regular"
"1282","DET","MIN","Mechanix","Wind Chill",21,30,2014-04-12,"2014-04-12-MIN-DET","Wind Chill","Mechanix","regular"
"1283","CIN","MAD","Revolution","Radicals",16,25,2014-04-12,"2014-04-12-MAD-CIN","Radicals","Revolution","regular"
"1274","SAL","VAN","Lions","Riptide",12,21,2014-04-13,"2014-04-13-VAN-SLC","Riptide","Lions","regular"
"1275","NY","TOR","Empire","Rush",20,22,2014-04-13,"2014-04-13-TOR-NY","Rush","Empire","regular"
"1276","CHI","MIN","Union","Wind Chill",27,19,2014-04-13,"2014-04-13-MIN-CHI","Union","Wind Chill","regular"
"1277","IND","MAD","AlleyCats","Radicals",21,26,2014-04-13,"2014-04-13-MAD-IND","Radicals","AlleyCats","regular"
"1273","CIN","CHI","Revolution","Union",23,22,2014-04-18,"2014-04-18-CHI-CIN","Revolution","Union","regular"
"1268","MTL","TOR","Royal","Rush",14,22,2014-04-19,"2014-04-19-TOR-MTL","Rush","Royal","regular"
"1269","SF","SAL","FlameThrowers","Lions",32,9,2014-04-19,"2014-04-19-SLC-SF","FlameThrowers","Lions","regular"
"1270","VAN","SEA","Riptide","Cascades",24,19,2014-04-19,"2014-04-19-SEA-VAN","Riptide","Cascades","regular"
"1271","DET","MAD","Mechanix","Radicals",9,34,2014-04-19,"2014-04-19-MAD-DET","Radicals","Mechanix","regular"
"1272","IND","CHI","AlleyCats","Union",25,19,2014-04-19,"2014-04-19-CHI-IND","AlleyCats","Union","regular"
"1267","OAK","SAL","Spiders","Lions",37,18,2014-04-20,"2014-04-20-SLC-SJ","Spiders","Lions","regular"
"1266","MIN","MAD","Wind Chill","Radicals",23,20,2014-04-25,"2014-04-25-MAD-MIN","Wind Chill","Radicals","regular"
"1261","SAL","OAK","Lions","Spiders",20,31,2014-04-26,"2014-04-26-SJ-SLC","Spiders","Lions","regular"
"1262","SEA","SF","Cascades","FlameThrowers",13,17,2014-04-26,"2014-04-26-SF-SEA","FlameThrowers","Cascades","regular"
"1263","NY","ROC","Empire","Dragons",27,8,2014-04-26,"2014-04-26-ROC-NY","Empire","Dragons","regular"
"1264","DET","IND","Mechanix","AlleyCats",16,22,2014-04-26,"2014-04-26-IND-DET","AlleyCats","Mechanix","regular"
"1265","CHI","CIN","Union","Revolution",27,12,2014-04-26,"2014-04-26-CIN-CHI","Union","Revolution","regular"
"1259","VAN","SF","Riptide","FlameThrowers",20,29,2014-04-27,"2014-04-27-SF-VAN","FlameThrowers","Riptide","regular"
"1260","DC","ROC","Breeze","Dragons",30,22,2014-04-27,"2014-04-27-ROC-DC","Breeze","Dragons","regular"
"1258","CIN","DET","Revolution","Mechanix",25,13,2014-05-02,"2014-05-02-DET-CIN","Revolution","Mechanix","regular"
"1252","OAK","SEA","Spiders","Cascades",25,20,2014-05-03,"2014-05-03-SEA-SJ","Spiders","Cascades","regular"
"1253","TOR","ROC","Rush","Dragons",26,11,2014-05-03,"2014-05-03-ROC-TOR","Rush","Dragons","regular"
"1254","MTL","NY","Royal","Empire",16,17,2014-05-03,"2014-05-03-NY-MTL","Empire","Royal","regular"
"1255","MAD","IND","Radicals","AlleyCats",27,18,2014-05-03,"2014-05-03-IND-MAD","Radicals","AlleyCats","regular"
"1256","CHI","DET","Union","Mechanix",18,9,2014-05-03,"2014-05-03-DET-CHI","Union","Mechanix","regular"
"1257","PHI","DC","Phoenix","Breeze",22,30,2014-05-03,"2014-05-03-DC-PHI","Breeze","Phoenix","regular"
