"","team","date","elo","date_numeric"
"1","AlleyCats",2014-04-13,1369.50014928905,1
"2","AlleyCats",2014-04-19,1393.77734682644,7
"3","AlleyCats",2014-04-26,1424.14836579154,14
"4","AlleyCats",2014-05-03,1407.00171139943,21
"5","AlleyCats",2014-05-04,1420.32141831445,22
"6","AlleyCats",2014-05-09,1413.45071284218,27
"7","AlleyCats",2014-05-10,1420.47978383009,28
"8","AlleyCats",2014-05-16,1448.38430955382,34
"9","AlleyCats",2014-05-17,1456.01453745526,35
"10","AlleyCats",2014-06-07,1419.8267826385,56
"11","AlleyCats",2014-06-14,1439.78330766518,63
"12","AlleyCats",2014-06-21,1443.35752584736,70
"13","AlleyCats",2014-06-27,1456.82359407509,76
"14","AlleyCats",2014-07-13,1430.2536554971,92
"15","AlleyCats",2014-07-19,1418.15211278469,98
"16","Breeze",2014-04-12,1387.26890847859,0
"17","Breeze",2014-04-27,1410.07601984828,15
"18","Breeze",2014-05-03,1447.96981857138,21
"19","Breeze",2014-05-04,1462.37418823165,22
"20","Breeze",2014-05-18,1470.45645933006,36
"21","Breeze",2014-05-24,1450.71737311839,42
"22","Breeze",2014-05-25,1471.51246888556,43
"23","Breeze",2014-06-08,1476.46285488722,57
"24","Breeze",2014-06-14,1499.36784260948,63
"25","Breeze",2014-06-28,1532.06812594753,77
"26","Breeze",2014-06-29,1508.3132915363,78
"27","Breeze",2014-07-05,1470.4751410028,84
"28","Breeze",2014-07-06,1488.4273326088,85
"29","Breeze",2014-07-12,1502.82447702107,91
"30","Breeze",2014-07-19,1475.10501438332,98
"31","Cascades",2014-04-19,1387.30696511635,7
"32","Cascades",2014-04-26,1358.76161838429,14
"33","Cascades",2014-05-03,1347.31256557669,21
"34","Cascades",2014-05-04,1332.62532303478,22
"35","Cascades",2014-05-11,1304.98540333632,29
"36","Cascades",2014-05-18,1323.47870319047,36
"37","Cascades",2014-05-25,1296.78235908681,43
"38","Cascades",2014-05-31,1328.13208886153,49
"39","Cascades",2014-06-08,1343.14748644221,57
"40","Cascades",2014-06-14,1334.23306357333,63
"41","Cascades",2014-06-15,1329.20939868075,64
"42","Cascades",2014-06-22,1309.35263736683,71
"43","Cascades",2014-06-29,1301.69122404897,78
"44","Cascades",2014-07-12,1281.09695944481,91
"45","Dragons",2014-04-12,1425.46218304282,0
"46","Dragons",2014-04-26,1388.47518377735,14
"47","Dragons",2014-04-27,1365.66807240766,15
"48","Dragons",2014-05-03,1347.77825149923,21
"49","Dragons",2014-05-10,1313.15056738367,28
"50","Dragons",2014-05-17,1278.7026204239,35
"51","Dragons",2014-05-18,1258.78250049825,36
"52","Dragons",2014-05-25,1237.98740473108,43
"53","Dragons",2014-06-01,1219.4862152971,50
"54","Dragons",2014-06-08,1213.6431543594,57
"55","Dragons",2014-06-14,1201.4373687736,63
"56","Dragons",2014-06-22,1178.68420643662,71
"57","Dragons",2014-06-28,1167.89281607937,77
"58","Dragons",2014-07-05,1153.06067412882,84
"59","Empire",2014-04-13,1380.2499204265,1
"60","Empire",2014-04-26,1417.23691969197,14
"61","Empire",2014-05-03,1428.72971872906,21
"62","Empire",2014-05-10,1444.08568090725,28
