"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo"
"1278","SAL","VAN","Lions","Riptide",14,29,2014-04-12,"2014-04-12-VAN-SLC","Riptide","Lions","regular",1400,1400,1349.07563391437,1450.92436608563
"1279","DC","TOR","Breeze","Rush",19,20,2014-04-12,"2014-04-12-TOR-DC","Rush","Breeze","regular",1400,1400,1387.26890847859,1412.73109152141
"1280","OAK","SF","Spiders","FlameThrowers",20,16,2014-04-12,"2014-04-12-SF-SJ","Spiders","FlameThrowers","regular",1400,1400,1416.62319144858,1383.37680855142
"1281","PHI","ROC","Phoenix","Dragons",10,13,2014-04-12,"2014-04-12-ROC-PHI","Dragons","Phoenix","regular",1400,1400,1374.53781695718,1425.46218304282
"1282","DET","MIN","Mechanix","Wind Chill",21,30,2014-04-12,"2014-04-12-MIN-DET","Wind Chill","Mechanix","regular",1400,1400,1357.70822939645,1442.29177060355
"1283","CIN","MAD","Revolution","Radicals",16,25,2014-04-12,"2014-04-12-MAD-CIN","Radicals","Revolution","regular",1400,1400,1357.70822939645,1442.29177060355
"1274","SAL","VAN","Lions","Riptide",12,21,2014-04-13,"2014-04-13-VAN-SLC","Riptide","Lions","regular",1349.07563391437,1450.92436608563,1314.69174543058,1485.30825456942
"1275","NY","TOR","Empire","Rush",20,22,2014-04-13,"2014-04-13-TOR-NY","Rush","Empire","regular",1400,1412.73109152141,1380.2499204265,1432.48117109491
"1276","CHI","MIN","Union","Wind Chill",27,19,2014-04-13,"2014-04-13-MIN-CHI","Union","Wind Chill","regular",1400,1442.29177060355,1426.83007458633,1415.46169601722
"1277","IND","MAD","AlleyCats","Radicals",21,26,2014-04-13,"2014-04-13-MAD-IND","Radicals","AlleyCats","regular",1400,1442.29177060355,1369.50014928905,1472.79162131449
"1273","CIN","CHI","Revolution","Union",23,22,2014-04-18,"2014-04-18-CHI-CIN","Revolution","Union","regular",1357.70822939645,1426.83007458633,1367.05266197633,1417.48564200646
"1268","MTL","TOR","Royal","Rush",14,22,2014-04-19,"2014-04-19-TOR-MTL","Rush","Royal","regular",1400,1432.48117109491,1361.88584112227,1470.59532997264
"1269","SF","SAL","FlameThrowers","Lions",32,9,2014-04-19,"2014-04-19-SLC-SF","FlameThrowers","Lions","regular",1383.37680855142,1314.69174543058,1407.69983528014,1290.36871870186
"1270","VAN","SEA","Riptide","Cascades",24,19,2014-04-19,"2014-04-19-SEA-VAN","Riptide","Cascades","regular",1485.30825456942,1400,1498.00128945307,1387.30696511635
"1271","DET","MAD","Mechanix","Radicals",9,34,2014-04-19,"2014-04-19-MAD-DET","Radicals","Mechanix","regular",1357.70822939645,1472.79162131449,1310.63438723608,1519.86546347487
"1272","IND","CHI","AlleyCats","Union",25,19,2014-04-19,"2014-04-19-CHI-IND","AlleyCats","Union","regular",1369.50014928905,1417.48564200646,1393.77734682644,1393.20844446907
"1267","OAK","SAL","Spiders","Lions",37,18,2014-04-20,"2014-04-20-SLC-SJ","Spiders","Lions","regular",1416.62319144858,1290.36871870186,1434.04250907556,1272.94940107488
"1266","MIN","MAD","Wind Chill","Radicals",23,20,2014-04-25,"2014-04-25-MAD-MIN","Wind Chill","Radicals","regular",1415.46169601722,1519.86546347487,1436.56190436738,1498.7652551247
"1261","SAL","OAK","Lions","Spiders",20,31,2014-04-26,"2014-04-26-SJ-SLC","Spiders","Lions","regular",1272.94940107488,1434.04250907556,1241.28393138987,1465.70797876057
